,date,Home_Team,Score,Away_Team
0,20-08-2023,Sassuolo,0 - 2,Atalanta
1,26-08-2023,Frosinone,2 - 1,Atalanta
2,02-09-2023,Atalanta,3 - 0,Monza
3,17-09-2023,Fiorentina,3 - 2,Atalanta
4,24-09-2023,Atalanta,2 - 0,Cagliari
5,27-09-2023,Verona,0 - 1,Atalanta
6,01-10-2023,Atalanta,0 - 0,Juventus
7,08-10-2023,Lazio,3 - 2,Atalanta
8,22-10-2023,Atalanta,2 - 0,Genoa
9,30-10-2023,Empoli,0 - 3,Atalanta
10,04-11-2023,Atalanta,1 - 2,Inter
11,12-11-2023,Udinese,1 - 1,Atalanta
12,25-11-2023,Atalanta,1 - 2,Napoli
13,04-12-2023,Torino,3 - 0,Atalanta
14,09-12-2023,Atalanta,3 - 2,Milan
15,18-12-2023,Atalanta,4 - 1,Salernitana
16,23-12-2023,Bologna,1 - 0,Atalanta
17,30-12-2023,Atalanta,1 - 0,Lecce
18,07-01-2024,Roma,1 - 1,Atalanta
19,15-01-2024,Atalanta,5 - 0,Frosinone
20,27-01-2024,Atalanta,? - ?,Udinese
21,21-08-2023,Bologna,0 - 2,Milan
22,27-08-2023,Juventus,1 - 1,Bologna
23,02-09-2023,Bologna,2 - 1,Cagliari
24,18-09-2023,Verona,0 - 0,Bologna
25,24-09-2023,Bologna,0 - 0,Napoli
26,28-09-2023,Monza,0 - 0,Bologna
27,01-10-2023,Bologna,3 - 0,Empoli
28,07-10-2023,Inter,2 - 2,Bologna
29,22-10-2023,Bologna,2 - 1,Frosinone
30,28-10-2023,Sassuolo,1 - 1,Bologna
31,03-11-2023,Bologna,1 - 0,Lazio
32,12-11-2023,Fiorentina,2 - 1,Bologna
33,27-11-2023,Bologna,2 - 0,Torino
34,03-12-2023,Lecce,1 - 1,Bologna
35,10-12-2023,Salernitana,1 - 2,Bologna
36,17-12-2023,Bologna,2 - 0,Roma
37,23-12-2023,Bologna,1 - 0,Atalanta
38,30-12-2023,Udinese,3 - 0,Bologna
39,05-01-2024,Bologna,1 - 1,Genoa
40,14-01-2024,Cagliari,2 - 1,Bologna
41,27-01-2024,Milan,? - ?,Bologna
42,21-08-2023,Torino,0 - 0,Cagliari
43,28-08-2023,Cagliari,0 - 2,Inter
44,02-09-2023,Bologna,2 - 1,Cagliari
45,17-09-2023,Cagliari,0 - 0,Udinese
46,24-09-2023,Atalanta,2 - 0,Cagliari
47,27-09-2023,Cagliari,1 - 3,Milan
48,02-10-2023,Fiorentina,3 - 0,Cagliari
49,08-10-2023,Cagliari,1 - 4,Roma
50,22-10-2023,Salernitana,2 - 2,Cagliari
51,29-10-2023,Cagliari,4 - 3,Frosinone
52,05-11-2023,Cagliari,2 - 1,Genoa
53,11-11-2023,Juventus,2 - 1,Cagliari
54,26-11-2023,Cagliari,1 - 1,Monza
55,02-12-2023,Lazio,1 - 0,Cagliari
56,11-12-2023,Cagliari,2 - 1,Sassuolo
57,16-12-2023,Napoli,2 - 1,Cagliari
58,23-12-2023,Verona,2 - 0,Cagliari
59,30-12-2023,Cagliari,0 - 0,Empoli
60,06-01-2024,Lecce,1 - 1,Cagliari
61,14-01-2024,Cagliari,2 - 1,Bologna
62,21-01-2024,Frosinone,3 - 1,Cagliari
63,26-01-2024,Cagliari,? - ?,Torino
64,19-08-2023,Empoli,0 - 1,Verona
65,26-08-2023,Monza,2 - 0,Empoli
66,03-09-2023,Empoli,0 - 2,Juventus
67,17-09-2023,Roma,7 - 0,Empoli
68,24-09-2023,Empoli,0 - 1,Inter
69,27-09-2023,Empoli,1 - 0,Salernitana
70,01-10-2023,Bologna,3 - 0,Empoli
71,06-10-2023,Empoli,0 - 0,Udinese
72,23-10-2023,Fiorentina,0 - 2,Empoli
73,30-10-2023,Empoli,0 - 3,Atalanta
74,06-11-2023,Frosinone,2 - 1,Empoli
75,12-11-2023,Napoli,0 - 1,Empoli
76,26-11-2023,Empoli,3 - 4,Sassuolo
77,02-12-2023,Genoa,1 - 1,Empoli
78,11-12-2023,Empoli,1 - 1,Lecce
79,16-12-2023,Torino,1 - 0,Empoli
80,22-12-2023,Empoli,0 - 2,Lazio
81,30-12-2023,Cagliari,0 - 0,Empoli
82,07-01-2024,Empoli,0 - 3,Milan
83,13-01-2024,Verona,2 - 1,Empoli
84,21-01-2024,Empoli,3 - 0,Monza
85,27-01-2024,Juventus,? - ?,Empoli
86,19-08-2023,Genoa,1 - 4,Fiorentina
87,27-08-2023,Fiorentina,2 - 2,Lecce
88,03-09-2023,Inter,4 - 0,Fiorentina
89,17-09-2023,Fiorentina,3 - 2,Atalanta
90,24-09-2023,Udinese,0 - 2,Fiorentina
91,28-09-2023,Frosinone,1 - 1,Fiorentina
92,02-10-2023,Fiorentina,3 - 0,Cagliari
93,08-10-2023,Napoli,1 - 3,Fiorentina
94,23-10-2023,Fiorentina,0 - 2,Empoli
95,30-10-2023,Lazio,1 - 0,Fiorentina
96,05-11-2023,Fiorentina,0 - 1,Juventus
97,12-11-2023,Fiorentina,2 - 1,Bologna
98,25-11-2023,Milan,1 - 0,Fiorentina
99,03-12-2023,Fiorentina,3 - 0,Salernitana
100,10-12-2023,Roma,1 - 1,Fiorentina
101,17-12-2023,Fiorentina,1 - 0,Verona
102,22-12-2023,Monza,0 - 1,Fiorentina
103,29-12-2023,Fiorentina,1 - 0,Torino
104,06-01-2024,Sassuolo,1 - 0,Fiorentina
105,14-01-2024,Fiorentina,2 - 2,Udinese
106,28-01-2024,Fiorentina,? - ?,Inter
107,19-08-2023,Frosinone,1 - 3,Napoli
108,26-08-2023,Frosinone,2 - 1,Atalanta
109,02-09-2023,Udinese,0 - 0,Frosinone
110,17-09-2023,Frosinone,4 - 2,Sassuolo
111,22-09-2023,Salernitana,1 - 1,Frosinone
112,28-09-2023,Frosinone,1 - 1,Fiorentina
113,01-10-2023,Roma,2 - 0,Frosinone
114,08-10-2023,Frosinone,2 - 1,Verona
115,22-10-2023,Bologna,2 - 1,Frosinone
116,29-10-2023,Cagliari,4 - 3,Frosinone
117,06-11-2023,Frosinone,2 - 1,Empoli
118,12-11-2023,Inter,2 - 0,Frosinone
119,26-11-2023,Frosinone,2 - 1,Genoa
120,02-12-2023,Milan,3 - 1,Frosinone
121,10-12-2023,Frosinone,0 - 0,Torino
122,16-12-2023,Lecce,2 - 1,Frosinone
123,23-12-2023,Frosinone,1 - 2,Juventus
124,29-12-2023,Lazio,3 - 1,Frosinone
125,06-01-2024,Frosinone,2 - 3,Monza
126,15-01-2024,Atalanta,5 - 0,Frosinone
127,21-01-2024,Frosinone,3 - 1,Cagliari
128,28-01-2024,Verona,? - ?,Frosinone
129,19-08-2023,Genoa,1 - 4,Fiorentina
130,27-08-2023,Lazio,0 - 1,Genoa
131,03-09-2023,Torino,1 - 0,Genoa
132,16-09-2023,Genoa,2 - 2,Napoli
133,22-09-2023,Lecce,1 - 0,Genoa
134,28-09-2023,Genoa,4 - 1,Roma
135,01-10-2023,Udinese,2 - 2,Genoa
136,07-10-2023,Genoa,0 - 1,Milan
137,22-10-2023,Atalanta,2 - 0,Genoa
138,27-10-2023,Genoa,1 - 0,Salernitana
139,05-11-2023,Cagliari,2 - 1,Genoa
140,10-11-2023,Genoa,1 - 0,Verona
141,26-11-2023,Frosinone,2 - 1,Genoa
142,02-12-2023,Genoa,1 - 1,Empoli
143,10-12-2023,Monza,1 - 0,Genoa
144,15-12-2023,Genoa,1 - 1,Juventus
145,22-12-2023,Sassuolo,1 - 2,Genoa
146,29-12-2023,Genoa,1 - 1,Inter
147,05-01-2024,Bologna,1 - 1,Genoa
148,13-01-2024,Genoa,0 - 0,Torino
149,21-01-2024,Salernitana,1 - 2,Genoa
150,28-01-2024,Genoa,? - ?,Lecce
151,19-08-2023,Inter,2 - 0,Monza
152,28-08-2023,Cagliari,0 - 2,Inter
153,03-09-2023,Inter,4 - 0,Fiorentina
154,16-09-2023,Inter,5 - 1,Milan
155,24-09-2023,Empoli,0 - 1,Inter
156,27-09-2023,Inter,1 - 2,Sassuolo
157,30-09-2023,Salernitana,0 - 4,Inter
158,07-10-2023,Inter,2 - 2,Bologna
159,21-10-2023,Torino,0 - 3,Inter
160,29-10-2023,Inter,1 - 0,Roma
161,04-11-2023,Atalanta,1 - 2,Inter
162,12-11-2023,Inter,2 - 0,Frosinone
163,26-11-2023,Juventus,1 - 1,Inter
164,03-12-2023,Napoli,0 - 3,Inter
165,09-12-2023,Inter,4 - 0,Udinese
166,17-12-2023,Lazio,0 - 2,Inter
167,23-12-2023,Inter,2 - 0,Lecce
168,29-12-2023,Genoa,1 - 1,Inter
169,06-01-2024,Inter,2 - 1,Verona
170,13-01-2024,Monza,1 - 5,Inter
171,28-01-2024,Fiorentina,? - ?,Inter
172,20-08-2023,Udinese,0 - 3,Juventus
173,27-08-2023,Juventus,1 - 1,Bologna
174,03-09-2023,Empoli,0 - 2,Juventus
175,16-09-2023,Juventus,3 - 1,Lazio
176,23-09-2023,Sassuolo,4 - 2,Juventus
177,26-09-2023,Juventus,1 - 0,Lecce
178,01-10-2023,Atalanta,0 - 0,Juventus
179,07-10-2023,Juventus,2 - 0,Torino
180,22-10-2023,Milan,0 - 1,Juventus
181,28-10-2023,Juventus,1 - 0,Verona
182,05-11-2023,Fiorentina,0 - 1,Juventus
183,11-11-2023,Juventus,2 - 1,Cagliari
184,26-11-2023,Juventus,1 - 1,Inter
185,01-12-2023,Monza,1 - 2,Juventus
186,08-12-2023,Juventus,1 - 0,Napoli
187,15-12-2023,Genoa,1 - 1,Juventus
188,23-12-2023,Frosinone,1 - 2,Juventus
189,30-12-2023,Juventus,1 - 0,Roma
190,07-01-2024,Salernitana,1 - 2,Juventus
191,16-01-2024,Juventus,3 - 0,Sassuolo
192,21-01-2024,Lecce,0 - 3,Juventus
193,27-01-2024,Juventus,? - ?,Empoli
194,20-08-2023,Lecce,2 - 1,Lazio
195,27-08-2023,Lazio,0 - 1,Genoa
196,02-09-2023,Napoli,1 - 2,Lazio
197,16-09-2023,Juventus,3 - 1,Lazio
198,23-09-2023,Lazio,1 - 1,Monza
199,27-09-2023,Lazio,2 - 0,Torino
200,30-09-2023,Milan,2 - 0,Lazio
201,08-10-2023,Lazio,3 - 2,Atalanta
202,21-10-2023,Sassuolo,0 - 2,Lazio
203,30-10-2023,Lazio,1 - 0,Fiorentina
204,03-11-2023,Bologna,1 - 0,Lazio
205,12-11-2023,Lazio,0 - 0,Roma
206,25-11-2023,Salernitana,2 - 1,Lazio
207,02-12-2023,Lazio,1 - 0,Cagliari
208,09-12-2023,Verona,1 - 1,Lazio
209,17-12-2023,Lazio,0 - 2,Inter
210,22-12-2023,Empoli,0 - 2,Lazio
211,29-12-2023,Lazio,3 - 1,Frosinone
212,07-01-2024,Udinese,1 - 2,Lazio
213,14-01-2024,Lazio,1 - 0,Lecce
214,28-01-2024,Lazio,? - ?,Napoli
215,20-08-2023,Lecce,2 - 1,Lazio
216,27-08-2023,Fiorentina,2 - 2,Lecce
217,03-09-2023,Lecce,2 - 0,Salernitana
218,17-09-2023,Monza,1 - 1,Lecce
219,22-09-2023,Lecce,1 - 0,Genoa
220,26-09-2023,Juventus,1 - 0,Lecce
221,30-09-2023,Lecce,0 - 4,Napoli
222,06-10-2023,Lecce,1 - 1,Sassuolo
223,23-10-2023,Udinese,1 - 1,Lecce
224,28-10-2023,Lecce,0 - 1,Torino
225,05-11-2023,Roma,2 - 1,Lecce
226,11-11-2023,Lecce,2 - 2,Milan
227,27-11-2023,Verona,2 - 2,Lecce
228,03-12-2023,Lecce,1 - 1,Bologna
229,11-12-2023,Empoli,1 - 1,Lecce
230,16-12-2023,Lecce,2 - 1,Frosinone
231,23-12-2023,Inter,2 - 0,Lecce
232,30-12-2023,Atalanta,1 - 0,Lecce
233,06-01-2024,Lecce,1 - 1,Cagliari
234,14-01-2024,Lazio,1 - 0,Lecce
235,21-01-2024,Lecce,0 - 3,Juventus
236,28-01-2024,Genoa,? - ?,Lecce
237,21-08-2023,Bologna,0 - 2,Milan
238,26-08-2023,Milan,4 - 1,Torino
239,01-09-2023,Roma,1 - 2,Milan
240,16-09-2023,Inter,5 - 1,Milan
241,23-09-2023,Milan,1 - 0,Verona
242,27-09-2023,Cagliari,1 - 3,Milan
243,30-09-2023,Milan,2 - 0,Lazio
244,07-10-2023,Genoa,0 - 1,Milan
245,22-10-2023,Milan,0 - 1,Juventus
246,29-10-2023,Napoli,2 - 2,Milan
247,04-11-2023,Milan,0 - 1,Udinese
248,11-11-2023,Lecce,2 - 2,Milan
249,25-11-2023,Milan,1 - 0,Fiorentina
250,02-12-2023,Milan,3 - 1,Frosinone
251,09-12-2023,Atalanta,3 - 2,Milan
252,17-12-2023,Milan,3 - 0,Monza
253,22-12-2023,Salernitana,2 - 2,Milan
254,30-12-2023,Milan,1 - 0,Sassuolo
255,07-01-2024,Empoli,0 - 3,Milan
256,14-01-2024,Milan,3 - 1,Roma
257,20-01-2024,Udinese,2 - 3,Milan
258,27-01-2024,Milan,? - ?,Bologna
259,19-08-2023,Inter,2 - 0,Monza
260,26-08-2023,Monza,2 - 0,Empoli
261,02-09-2023,Atalanta,3 - 0,Monza
262,17-09-2023,Monza,1 - 1,Lecce
263,23-09-2023,Lazio,1 - 1,Monza
264,28-09-2023,Monza,0 - 0,Bologna
265,02-10-2023,Sassuolo,0 - 1,Monza
266,08-10-2023,Monza,3 - 0,Salernitana
267,22-10-2023,Roma,1 - 0,Monza
268,29-10-2023,Monza,1 - 1,Udinese
269,05-11-2023,Verona,1 - 3,Monza
270,11-11-2023,Monza,1 - 1,Torino
271,26-11-2023,Cagliari,1 - 1,Monza
272,01-12-2023,Monza,1 - 2,Juventus
273,10-12-2023,Monza,1 - 0,Genoa
274,17-12-2023,Milan,3 - 0,Monza
275,22-12-2023,Monza,0 - 1,Fiorentina
276,29-12-2023,Napoli,0 - 0,Monza
